SKU,Current_Item,Current_Base_Item,sku_Family,Current_Item_Overall_Status,Current_Item_Specific_Status,Current_Item_Lead_Style,Current_Item_Product_Type ,Current_Item_sku_Pricing,Current_Item_Discounted_Pricing, Current_Item_Inventory , Current_Item_Reported_Inventory , Current_Item_Min_Order_Qty ,Current_Item_Packaging_Type, Current_Item_sku_packaging_qty ,Current_Item_Shrink_wrapped_status,Current_Item_Version_Number,Current_Item_Version_Description,Frequency_Hertz,Starting_Method,Lamp_Connection , Ballast_Factor ,Maximum_Possible_Lamp_Combinations, Number_ of_Lamps ,Maximum_Voltage_Combinations, Voltage_120V , Voltage_240V , Voltage_277V, Voltage_347V,Power_factor,Power_factor_value,Dimming_Status, Length_inches , Width_inches , Height_inches , Weight_in_lbs , Lamps ,Successor_Item,Successor_Base_Item,Successor_Item_sku_Family,Substitute_Item,Substitute_Base_Item,Substitute_Item_Product_Type,Substitute_Item_Overall_Status,Substitute_Item_Specific_Status,Substitutue item sku Family,Substitute_item__Item_Lead_Style, Philips_Advance , GE ,Osram,Univeral,Fulham,Keystone,Howard,Sola,Hatch,Halco,Radionic,Epsen,Interglobal,Sunpark,Accupro,Valmont,TCP
5M10562,04825 /A,4825,M10562,Discontinued,Limited,Leaded,Magnetic,$139.95 ,,2,2,,5,10,N,,,,Preheat,Series, DK ,1,1,230,N,Y,N,N,Normal,,N,2.81,1.28,1.63,0.594,9TT-2P,04825 AM,4825,P10137,,,,,,,,,,,,,,,,,,,,,,,,
3M10563,04826 /A,4826,M10563,Discontinued,Limited,Leaded,Magnetic,$15.95 ,,21,21,,3,1,Y,,,,Preheat,Series, DK ,1,1,230,N,Y,N,N,Normal,,N,2.81,1.28,1.63,0.7,7/9TT,04826 AM,4826,P10138,,,,,,,,,,,,,,,,,,,,,,,,
3M10564,04835         /A,4835,M10564,Discontinued,Limited,Leaded,Magnetic,$15.95 ,,29,29,,3,1,Y,,,50,Preheat,Series,,1,1,,,,,,Normal,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10565,0682LH        /A,0682LH        ,M10565,Discontinued,Limited,Leaded,Magnetic,$14.95 ,,11,11,,3,1,Y,,,60,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10566,0682P         /C,0682P         ,M10566,Discontinued,Limited,Leaded,Magnetic,$19.95 ,,55,55,,3,1,Y,,,60,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,,,,,0682P AM,0682P         ,Magnetic,Ongoing,Active,P10094,Leaded,,,,,,,,,,,,,,,,,
3M10567,0682PLA       /C,0682PLA       ,M10567,Discontinued,Limited,Leaded,Magnetic,$19.95 ,,15,15,,3,1,Y,,,60,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M10568,0682RCB1LH    /C,0682RCB1LH    ,M10568,Discontinued,Limited,Leaded,Magnetic,$139.95 ,,4,4,,5,10,N,,,60,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10568,0682RCB1LH    /C,0682RCB1LH    ,M10568,Discontinued,Limited,Leaded,Magnetic,$16.95 ,,18,18,,3,1,Y,,,60,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10569,0682RCLA      /A,0682RCLA      ,M10569,Discontinued,Limited,Leaded,Magnetic,$12.95 ,,29,29,,3,1,Y,,,60,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10570,0683          /B,683,M10570,Discontinued,Limited,Leaded,Magnetic,$16.95 ,,42,42,,3,1,Y,,,60,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,F8T5,,,,,,,,,,,,,,,,,,,,,,,,,,,
